Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
2019-HWC-0000-BANFU-1804,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,8,,,,,,,
2019-HWC-0000-BANFU-1804,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,Habituation,,,
2019-HWC-0000-BANFU-1804,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,Habituation,,Impact - Chalkball,Retreat - Run
2019-HWC-0000-BANFU-1805,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,37,,,,,,,
2019-HWC-0000-BANFU-1805,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,3,,,Indifferent to People/Vehicles,Habituation,,,
2019-HWC-0000-BANFU-1805,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,,,Indifferent to People/Vehicles,Habituation,,Impact - Chalkball,Retreat - Run
2019-HWC-0000-BANFU-1806,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Coyote,1,Healthy,,Indifferent to People/Vehicles,Habituation,,,
2019-HWC-0000-BANFU-1807,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Black Bear,1,Healthy,,Indifferent to People/Vehicles,,Vegetation (natural),Impact - Chalkball,Retreat - Run
2019-HWC-0000-BANFU-1808,2019-10-09,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Cougar,1,Not Located,,Unknown,Unknown,Prey animal (natural),Not Applicable,Not Applicable
2019-HWC-0000-BANFU-1808,2019-10-09,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Elk,1,Dead,Predation,Not Applicable,Unknown,Not applicable,None,Not Applicable
2019-HWC-0000-BANFU-1809,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,23,,,,,,,
2019-HWC-0000-BANFU-1809,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Defence of Mate,Fish,Visual - Flagging or stick,Retreat - Walk
2019-HWC-0000-BANFU-1809,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,2,Healthy,,Indifferent to People/Vehicles,Habituation,Domestic grass,Visual - Flagging or stick,Retreat - Walk
2019-HWC-0000-BANFU-1810,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,19,,,,,,,
2019-HWC-0000-BANFU-1810,2019-10-09,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Bluff Charge,,Domestic animal,,
2019-HWC-0000-BANFU-1811,2019-10-09,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Canada Goose,1,Injured,Unknown,Not Applicable,Not applicable,Unknown,None,Not Applicable
